track_id,track_name,album_id,artist_id,genre_id,duration_seconds
1,Summer Together,72,38,2,306.0
2,Dance Stars,202,11,17,226.0
3,Magic Higher,260,18,17,286.0
4,Heart Memory,289,93,11,
5,Again Dream,170,40,11,256.0
6,Dance Memory,14,55,8,217.0
7,Beautiful Rain,297,79,4,334.0
8,Home Higher,246,70,16,311.0
9,Forever Magic,195,81,11,324.0
10,Wonder Dream,294,47,13,
11,Ocean Forever,161,88,16,255.0
12,Higher Time,211,117,17,306.0
13,Wonder Forever,32,49,11,282.0
14,Again Memory,167,15,9,284.0
15,City Together,89,57,2,286.0
16,Again Time,182,30,17,334.0
17,Dance Memory,136,5,10,199.0
18,Lost Heart,143,85,7,207.0
19,Time Heart,153,62,13,330.0
20,Summer Memory,251,78,6,239.0
21,Heart Dream,141,47,4,296.0
22,Alone Rise,195,81,11,359.0
23,Heart Fire,75,29,5,223.0
24,Falling Together,41,89,8,263.0
25,Run Run,246,70,16,287.0
26,Wonder Light,288,111,20,185.0
27,Rain Fire,123,80,9,321.0
28,Believe Rain,116,60,10,163.0
29,Wonder Memory,170,40,11,175.0
30,Love Lost,71,21,1,190.0
31,Memory Believe,244,92,15,201.0
32,Summer Heart,148,2,12,315.0
33,Believe Beautiful,46,67,9,209.0
34,Together Together,20,36,15,194.0
35,Together Together,91,31,6,159.0
36,Freedom Memory,204,48,10,197.0
37,Alone Fire,149,34,2,152.0
38,Together Summer,55,71,17,222.0
39,Higher Memory,279,93,20,184.0
40,Light Run,240,101,3,357.0
41,Stars City,84,42,4,315.0
42,Love Stars,96,9,9,236.0
43,Again Time,291,59,8,199.0
44,Magic Ocean,208,19,12,281.0
45,Again Dream,206,13,18,197.0
46,Summer Together,245,26,2,
47,Rain City,197,10,10,342.0
48,Heart Beautiful,169,78,9,335.0
49,Believe Falling,134,118,20,327.0
50,City Heart,61,2,18,190.0
51,Together Alone,258,47,13,330.0
52,Believe Together,61,2,18,225.0
53,Rain Forever,114,88,8,272.0
54,Ocean Wonder,192,23,20,290.0
55,Freedom Again,276,109,3,205.0
56,Higher City,42,88,20,285.0
57,Together Beautiful,40,74,13,178.0
58,Alone Higher,281,80,1,201.0
59,Home Summer,77,57,4,283.0
60,Wonder Beautiful,106,34,11,275.0
61,City Freedom,262,50,18,164.0
62,Ocean City,263,58,7,294.0
63,Again Freedom,237,86,3,228.0
64,Light Magic,203,57,15,150.0
65,Night Fire,297,79,4,258.0
66,Lost Fire,33,113,13,167.0
67,Fire Heart,242,70,11,254.0
68,Time Believe,70,85,3,336.0
69,Falling Alone,216,20,6,247.0
70,Rise Night,194,88,19,324.0
71,Forever Believe,277,17,10,239.0
72,Rise Higher,276,109,3,182.0
73,Magic Love,115,82,9,
74,City Again,153,62,13,334.0
75,Rise Magic,273,113,18,208.0
76,Forever Light,178,63,17,198.0
77,Fire Freedom,58,89,6,319.0
78,Rain Run,9,82,20,167.0
79,City Dance,18,111,16,322.0
80,Rain Stars,25,113,19,161.0
81,Lost Run,120,3,13,343.0
82,Forever Higher,29,52,6,224.0
83,Summer Beautiful,295,72,7,303.0
84,Rain Heart,165,77,10,186.0
85,Rain Ocean,267,82,6,226.0
86,Beautiful Alone,286,72,4,338.0
87,Lost Memory,219,58,8,162.0
88,Freedom Higher,196,81,10,231.0
89,Forever Heart,210,83,11,246.0
90,Memory Rain,276,109,3,207.0
91,Freedom City,74,102,19,164.0
92,Lost Higher,214,38,4,184.0
93,Run Summer,131,34,18,315.0
94,Closer Falling,231,33,7,173.0
95,Fire Light,98,85,16,246.0
96,Closer Night,21,43,11,198.0
97,Run Memory,287,58,8,203.0
98,Heart Together,171,85,13,153.0
99,Stars Dream,98,85,16,341.0
100,Together Rain,246,70,16,328.0
101,Rise Together,105,19,14,211.0
102,Rise City,145,9,18,286.0
103,Light Falling,158,110,18,281.0
104,Dream Freedom,239,82,13,334.0
105,Together Run,164,53,12,244.0
