history_id,track_id,listened_at,device,ms_played
1,399,2026-07-12 04:37:43,Tablet,320141.0
2,469,2025-12-26 21:35:04,Desktop,117705.0
3,1001,2025-07-30 17:06:11,Mobile,158164.0
4,787,2026-02-07 05:24:05,Smart TV,220477.0
5,948,2025-09-09 09:41:06,Desktop,76574.0
6,566,2025-12-29 05:12:34,Smart TV,119197.0
7,506,2024-08-16 23:02:57,Tablet,42701.0
8,989,2025-07-29 05:19:12,Smart TV,275436.0
9,644,2025-09-11 19:31:35,Desktop,97666.0
10,247,2024-10-29 02:12:18,Tablet,228457.0
11,579,2024-09-11 13:41:24,Mobile,151842.0
12,611,2024-09-24 07:26:10,Unknown,102332.0
13,864,2024-03-21 13:25:17,Desktop,94700.0
14,915,2025-10-02 13:54:32,Web,185484.0
15,221,2026-08-17 09:57:35,Tablet,212080.0
16,929,2024-10-18 05:55:51,Mobile,246720.0
17,254,2024-02-23 11:53:19,Web,184777.0
18,769,2025-07-17 00:55:37,Smart TV,158114.0
19,365,2024-11-30 22:19:17,Web,172562.0
20,664,2025-08-02 20:41:58,Unknown,62306.0
21,271,2025-05-23 02:19:32,Mobile,269237.0
22,1071,2024-06-16 08:33:23,Web,79571.0
23,693,2024-03-24 15:01:25,Smart TV,99208.0
24,1117,2024-03-04 19:06:10,Unknown,118934.0
25,318,2025-07-15 03:15:27,Mobile,159120.0
26,535,2024-08-20 08:42:40,Mobile,37792.0
27,108,2025-10-20 08:12:39,Desktop,125738.0
28,313,2026-09-04 05:00:45,Unknown,151586.0
29,811,2024-01-20 18:34:39,Unknown,173951.0
30,850,2025-07-17 02:28:27,Desktop,33843.0
31,471,2025-08-19 17:53:37,Tablet,29701.0
32,754,2025-06-05 05:58:39,Mobile,154305.0
33,577,2024-09-29 20:15:10,Desktop,102238.0
34,525,2024-12-08 07:07:40,Mobile,135961.0
35,585,2025-04-07 01:02:57,Unknown,170325.0
36,1049,2026-02-27 14:46:14,Smart TV,125879.0
37,219,2026-01-30 07:29:06,Unknown,73529.0
38,612,2026-05-02 07:48:14,Web,359718.0
39,950,2024-02-25 23:35:12,Web,149014.0
40,445,2025-06-07 00:52:01,Desktop,77263.0
41,684,2024-07-30 18:11:22,Web,325748.0
42,938,2025-02-04 21:54:40,Smart TV,206079.0
43,1149,2025-09-03 10:23:20,Desktop,229635.0
44,160,2025-09-23 03:54:18,Tablet,318599.0
45,103,2026-05-27 00:24:29,Web,308197.0
46,912,2025-01-25 20:41:03,Web,343363.0
47,441,2025-10-23 06:56:46,Web,263420.0
48,156,2024-10-13 15:12:00,Mobile,209746.0
49,246,2024-11-05 05:09:51,Desktop,147743.0
50,247,2026-07-30 23:10:54,Mobile,230719.0
51,976,2024-06-27 00:31:20,Smart TV,90592.0
52,1188,2025-12-12 20:17:45,Tablet,148097.0
53,983,2024-03-05 05:34:52,Smart TV,81135.0
54,62,2024-02-08 18:06:38,Desktop,171251.0
55,28,2025-08-13 01:36:11,Web,131477.0
56,577,2026-01-06 17:26:45,Unknown,68776.0
57,557,2026-09-13 06:50:50,Mobile,89277.0
58,91,2026-06-13 20:30:21,Unknown,161604.0
59,1001,2026-03-21 08:25:45,Web,131566.0
60,746,2024-03-31 21:46:27,Tablet,125703.0
61,336,2025-01-17 23:58:44,Tablet,184068.0
62,299,2024-11-24 23:16:36,Smart TV,141584.0
63,763,2025-04-23 12:38:59,Unknown,300878.0
64,1013,2025-11-22 19:44:36,Mobile,182966.0
65,519,2026-06-25 05:00:40,Smart TV,133253.0
66,924,2026-02-10 19:37:55,Mobile,249914.0
67,704,2025-06-02 22:45:28,Unknown,78778.0
68,327,2026-05-21 20:53:15,Desktop,89172.0
69,812,2024-03-24 15:15:16,Tablet,237066.0
70,86,2025-06-16 03:46:47,Tablet,245207.0
71,338,2026-01-27 08:15:24,Smart TV,247701.0
72,240,2024-11-29 13:35:32,Unknown,227694.0
73,805,2024-08-12 21:00:31,Mobile,167880.0
74,463,2025-10-17 23:26:37,Desktop,119523.0
75,2,2026-07-03 18:22:07,Mobile,214685.0
76,628,2024-09-04 14:47:10,Unknown,83778.0
77,198,2026-09-01 06:57:15,Mobile,41467.0
78,425,2024-07-09 02:35:50,Mobile,57944.0
79,865,2026-08-25 13:01:00,Tablet,154616.0
80,615,2024-12-17 14:07:02,Tablet,97109.0
81,980,2025-10-12 22:23:03,Mobile,185834.0
82,1024,2024-11-23 12:47:51,Smart TV,52139.0
83,1104,2026-02-27 03:34:05,Web,115685.0
84,1005,2024-01-28 13:50:03,Mobile,29621.0
85,973,2024-09-15 19:47:48,Unknown,60512.0
86,193,2025-04-10 13:49:47,Smart TV,296687.0
87,71,2024-11-26 11:16:47,Smart TV,167927.0
88,444,2025-09-20 14:56:59,Tablet,44091.0
89,58,2026-08-15 18:26:01,Smart TV,119480.0
90,563,2025-12-14 20:34:22,Unknown,184056.0
91,100,2024-09-16 21:19:23,Desktop,87795.0
92,926,2024-10-27 05:55:31,Smart TV,41759.0
93,225,2025-12-04 05:38:09,Smart TV,400446.0
94,996,2024-09-12 00:12:26,Unknown,99401.0
95,362,2026-03-02 13:42:57,Web,68050.0
96,1196,2026-05-15 17:57:44,Unknown,134450.0
97,238,2024-04-13 05:59:12,Tablet,89653.0
98,1153,2024-01-25 15:57:02,Smart TV,222274.0
99,43,2025-12-26 19:07:15,Tablet,208490.0
100,218,2025-03-04 17:14:43,Unknown,31568.0
101,865,2024-03-09 02:22:22,Unknown,53854.0
102,733,2025-05-01 14:36:42,Desktop,223418.0
103,248,2024-01-25 05:53:53,Desktop,58621.0
104,914,2025-11-06 19:52:34,Mobile,144435.0
105,380,2025-08-19 15:02:46,Desktop,84806.0
106,302,2024-11-03 04:51:00,Web,219677.0
107,123,2025-06-06 00:26:34,Tablet,63060.0
108,1087,2024-01-10 11:02:39,Desktop,295720.0
109,984,2026-03-31 07:46:31,Smart TV,59605.0
110,439,2024-04-11 06:16:39,Tablet,93587.0
111,146,2024-05-29 04:37:20,Mobile,314447.0
112,979,2025-06-09 02:38:34,Smart TV,148244.0
113,741,2026-08-18 08:12:16,Smart TV,263075.0
114,88,2026-06-10 11:40:06,Unknown,214975.0
115,766,2025-02-04 16:22:39,Unknown,161877.0
116,261,2025-05-05 22:23:15,Smart TV,195691.0
117,323,2024-09-04 21:48:29,Mobile,179897.0
118,887,2025-09-06 01:07:31,Unknown,94174.0
119,299,2026-03-02 23:21:09,Web,54135.0
120,952,2025-10-27 12:25:58,Web,104304.0
121,632,2026-05-25 17:06:32,Unknown,179911.0
122,1148,2026-08-03 22:02:05,Desktop,133382.0
123,962,2024-12-11 03:18:45,Tablet,273462.0
124,1059,2025-09-23 22:59:14,Web,37902.0
125,592,2025-08-31 18:41:47,Web,77835.0
126,491,2025-08-02 06:57:49,Web,157530.0
127,1061,2025-11-23 14:59:01,Unknown,148268.0
128,386,2026-02-25 22:19:14,Unknown,259097.0
129,605,2024-07-13 13:09:40,Desktop,152683.0
130,948,2025-08-18 18:56:12,Web,114165.0
131,506,2024-07-29 21:46:38,Desktop,262244.0
132,1018,2025-01-18 08:56:35,Tablet,85577.0
133,941,2025-07-04 12:25:47,Web,58971.0
134,255,2026-09-16 13:42:36,Mobile,178176.0
135,137,2024-07-12 09:16:38,Tablet,268373.0
136,1196,2026-04-20 10:05:18,Web,234697.0
137,105,2025-03-13 22:52:07,Smart TV,276133.0
138,896,2025-01-31 11:24:04,Web,70594.0
139,112,2024-02-12 02:33:31,Web,123505.0
140,261,2026-03-13 03:29:28,Desktop,191483.0
141,82,2026-07-01 20:37:41,Tablet,47013.0
142,568,2024-10-18 15:38:55,Tablet,140644.0
143,1169,2026-02-08 09:42:41,Desktop,244672.0
144,311,2024-01-24 20:09:35,Desktop,132141.0
145,785,2024-07-27 19:43:23,Mobile,150960.0
146,1170,2026-01-28 22:21:35,Smart TV,243793.0
147,256,2024-04-07 08:57:49,Smart TV,228937.0
148,340,2026-07-02 06:19:06,Mobile,350181.0
149,490,2025-11-18 11:13:54,Smart TV,145127.0
150,914,2024-08-06 08:27:12,Unknown,69101.0
151,910,2025-03-29 05:28:31,Tablet,203618.0
152,779,2024-01-24 19:42:24,Unknown,288242.0
153,1007,2025-03-23 19:04:33,Tablet,100426.0
154,795,2026-05-08 16:05:58,Unknown,121805.0
155,159,2025-09-07 13:45:01,Desktop,58582.0
156,644,2024-12-27 14:44:57,Desktop,118335.0
157,778,2025-09-06 17:06:06,Tablet,342081.0
158,500,2025-10-22 02:21:19,Smart TV,196332.0
159,1171,2024-12-19 13:05:23,Unknown,86017.0
160,913,2026-07-20 15:26:32,Desktop,66330.0
161,552,2025-01-10 09:27:40,Tablet,125077.0
162,1060,2025-09-05 19:19:50,Smart TV,306285.0
163,747,2024-02-19 08:19:20,Mobile,35995.0
164,1133,2024-02-21 09:06:59,Smart TV,34617.0
165,306,2024-10-27 05:09:24,Desktop,340873.0
166,470,2025-02-23 11:20:41,Mobile,78207.0
167,107,2025-08-09 23:50:02,Unknown,278997.0
168,361,2024-10-22 19:56:59,Desktop,134593.0
169,484,2024-01-18 07:06:49,Mobile,168590.0
170,552,2026-04-16 06:30:26,Tablet,136106.0
171,756,2026-01-10 06:30:51,Desktop,50554.0
172,18,2024-11-29 06:15:17,Mobile,189684.0
173,1026,2025-05-31 02:04:11,Smart TV,152809.0
174,320,2026-05-16 04:48:59,Web,84655.0
175,1176,2026-03-12 10:10:05,Unknown,202706.0
176,226,2025-12-31 09:02:14,Mobile,68659.0
177,138,2025-01-21 04:56:53,Smart TV,51646.0
178,809,2025-07-17 19:42:51,Smart TV,288281.0
179,1065,2024-12-28 22:02:46,Smart TV,222606.0
180,515,2025-06-20 14:50:35,Desktop,77005.0
181,75,2024-07-30 02:40:22,Web,155958.0
182,237,2025-09-10 15:00:55,Mobile,145924.0
183,645,2025-05-13 07:14:04,Unknown,175560.0
184,302,2025-04-05 21:29:48,Unknown,230428.0
185,619,2025-02-09 08:54:06,Smart TV,46770.0
186,518,2025-05-13 14:32:09,Desktop,151005.0
187,949,2024-05-13 15:08:19,Desktop,174210.0
188,208,2024-10-29 13:37:05,Smart TV,64388.0
189,888,2024-03-20 21:46:52,Tablet,122086.0
190,978,2024-02-11 17:27:23,Web,49866.0
191,1038,2024-06-18 00:24:09,Unknown,411155.0
192,1151,2024-10-03 02:10:49,Tablet,36858.0
193,761,2024-01-25 16:19:27,Tablet,221504.0
194,943,2024-12-21 22:38:16,Tablet,130096.0
195,1200,2024-05-06 15:57:41,Tablet,273456.0
196,75,2025-11-13 19:57:06,Mobile,182762.0
197,315,2026-08-13 13:45:35,Unknown,93149.0
198,548,2024-05-27 05:10:39,Tablet,139552.0
199,787,2024-10-09 14:21:34,Mobile,105517.0
200,273,2024-07-18 15:13:57,Desktop,123718.0
201,875,2025-07-14 20:41:13,Mobile,119113.0
202,136,2024-06-16 01:21:50,Mobile,93904.0
203,449,2025-04-24 06:01:46,Mobile,357915.0
204,942,2026-04-11 12:28:43,Smart TV,208569.0
205,529,2025-08-13 20:20:12,Unknown,173085.0
206,678,2025-10-08 11:53:19,Unknown,196245.0
207,1066,2025-11-29 10:09:24,Desktop,275382.0
208,464,2026-04-14 00:48:33,Tablet,120861.0
209,616,2025-05-25 14:44:06,Web,64009.0
210,219,2026-04-23 05:23:14,Desktop,148052.0
211,510,2025-04-20 05:34:47,Tablet,274393.0
212,744,2025-02-26 14:33:29,Mobile,178188.0
213,497,2024-06-15 22:41:05,Mobile,104774.0
214,643,2026-08-06 02:04:18,Desktop,107169.0
215,849,2025-04-29 01:06:50,Web,173679.0
216,483,2025-05-13 17:54:29,Desktop,174609.0
217,831,2025-03-16 08:33:36,Desktop,123956.0
218,689,2024-06-12 21:46:18,Mobile,181517.0
219,207,2024-03-25 02:59:48,Tablet,154616.0
220,878,2025-05-19 03:21:39,Unknown,276515.0
221,312,2024-02-22 00:04:33,Web,203756.0
222,752,2025-11-26 13:00:25,Desktop,173820.0
223,635,2024-12-04 03:38:23,Mobile,55926.0
224,1,2026-04-21 06:59:58,Smart TV,287500.0
225,221,2024-09-30 21:36:14,Mobile,154499.0
226,583,2024-05-21 02:21:52,Desktop,214930.0
227,1055,2024-04-08 18:04:26,Mobile,253422.0
228,806,2026-05-22 12:19:48,Smart TV,231462.0
229,735,2026-09-01 18:31:39,Smart TV,123684.0
230,857,2026-04-06 08:33:38,Unknown,206792.0
231,669,2024-08-03 08:45:46,Mobile,149153.0
232,163,2024-03-01 21:23:48,Smart TV,199902.0
233,259,2024-06-01 02:40:26,Web,131904.0
234,1187,2024-09-01 17:32:03,Unknown,178527.0
235,1131,2026-01-16 21:23:47,Smart TV,152055.0
236,70,2025-01-07 05:41:56,Mobile,175217.0
237,65,2026-05-11 09:10:53,Smart TV,139206.0
238,815,2026-03-13 11:46:52,Unknown,147504.0
239,865,2025-11-05 11:27:39,Unknown,251530.0
240,377,2024-01-08 05:58:39,Smart TV,352268.0
241,686,2024-05-31 01:31:48,Tablet,335086.0
242,1015,2026-09-07 10:06:59,Smart TV,262212.0
